时间,商品名称,库存变化,单笔销量
2026-09-08 19:43:29,GIHYEON线下签售,初始库存: 2500,0
2026-09-10 16:46:39,GIHYEON线下签售,2500 -> 2493,7
2026-09-10 19:02:50,GIHYEON线下签售,2493 -> 2481,12
2026-09-10 19:45:01,GIHYEON线下签售,2481 -> 2461,20
2026-09-10 20:13:32,GIHYEON线下签售,2461 -> 2454,7
2026-09-10 20:51:51,GIHYEON线下签售,2454 -> 2437,17
2026-09-10 21:08:52,GIHYEON线下签售,2437 -> 2417,20
2026-09-10 21:50:55,GIHYEON线下签售,2417 -> 2403,14
2026-09-10 22:06:17,GIHYEON线下签售,2403 -> 2389,14
2026-09-10 22:24:43,GIHYEON线下签售,2389 -> 2387,2
2026-09-10 22:29:02,GIHYEON线下签售,2387 -> 2380,7
2026-09-10 22:42:31,GIHYEON线下签售,2380 -> 2360,20
2026-09-10 22:43:06,GIHYEON线下签售,2360 -> 2345,15
2026-09-10 22:50:22,GIHYEON线下签售,2345 -> 2325,20
2026-09-10 22:53:09,GIHYEON线下签售,2325 -> 2295,30
2026-09-10 22:56:02,GIHYEON线下签售,2295 -> 2274,21
2026-09-10 22:58:24,GIHYEON线下签售,2274 -> 2237,37
2026-09-10 22:59:11,GIHYEON线下签售,2237 -> 2139,98
2026-09-10 23:00:05,GIHYEON线下签售,2139 -> 2133,6
